tweet,sentiment
so,Negative
bloomberg,Negative
is,Negative
doubl,Negative
hi,Negative
ad,Negative
budgetcool,Negative
wast,Negative
that,Negative
money,Negative
doe,Negative
anyon,Negative
ever,Negative
pay,Negative
attn,Negative
to,Negative
those,Negative
most,Negative
peopl,Negative
record,Negative
show,Negative
and,Negative
fast,Negative
forward,Negative
lol,Negative
well,Positive
sine,Positive
everyon,Positive
els,Positive
do,Positive
it,Positive
im,Positive
realli,Positive
proud,Positive
of,Positive
my,Positive
victori,Positive
at,Positive
the,Positive
caucu,Positive
tonight,Positive
all,Neutral
biden,Neutral
,Neutral
wa,Neutral
a,Neutral
flat,Neutral
out,Neutral
liarhim,Neutral
obama,Neutral
bothobama,Neutral
made,Neutral
him,Neutral
vp,Neutral
for,Neutral
just,Neutral
reason,Neutral
if,Positive
he,Positive
want,Positive
becom,Positive
democrat,Positive
great,Positive
one,Positive
less,Positive
seat,Positive
flip,Positive
welcom,Negative
where,Negative
rule,Negative
are,Negative
up,Negative
number,Negative
dont,Negative
matter,Negative
what,Strong Negative
exactli,Strong Negative
have,Strong Negative
with,Strong Negative
thi,Strong Negative
privat,Strong Negative
citizen,Strong Negative
i,Strong Negative
support,Strong Negative
grab,Strong Negative
em,Strong Negative
by,Strong Negative
pussi,Strong Negative
guy,Strong Negative
focu,Strong Negative
crimin,Strong Negative
shit,Neutral
ha,Neutral
me,Neutral
honkin,Neutral
like,Neutral
goos,Neutral
some,Negative
come,Negative
check,Negative
in,Negative
worri,Negative
sulli,Negative
death,Negative
will,Negative
romney,Negative
endors,Negative
next,Negative
might,Strong Negative
be,Strong Negative
go,Strong Negative
away,Strong Negative
but,Strong Negative
after,Strong Negative
trump,Strong Negative
goon,Strong Negative
done,Strong Negative
let,Strong Negative
beat,Strong Negative
their,Strong Negative
dumb,Strong Negative
ass,Strong Negative
joe,Strong Negative
anoth,Negative
care,Negative
noth,Negative
about,Negative
america,Negative
safeti,Negative
pete,Negative
juda,Negative
bug,Negative
take,Negative
our,Negative
gunsammunit,Negative
close,Negative
practic,Negative
rang,Negative
much,Negative
gun,Negative
discuss,Negative
put,Negative
a50,Negative
tax,Negative
on,Negative
firearm,Negative
75,Negative
ammunitionwho,Negative
control,Negative
anim,Negative
popul,Negative
saw,Positive
someon,Positive
say,Positive
sens,Positive
back,Positive
day,Positive
becaus,Positive
they,Positive
did,Positive
tavern,Positive
didnt,Positive
elabor,Positive
crowd,Strong Positive
were,Strong Positive
strong,Strong Positive
size,Strong Positive
energi,Strong Positive
