Word,Polarity
impeach,strongneg
failed,strongneg
uphold,strongpos
unconstitutional,strongneg
must,neutral
impeach,strongneg
failed,strongneg
uphold,strongpos
unconstitutional,strongneg
must,neutral
impeach,strongneg
star,weakpos
thrilled,strongpos
knows,neutral
supporting,strongpos
Welcome,weakpos
blind,strongneg
truth,strongpos
wrong,strongneg
broke,strongneg
progressive,weakpos
corrupt,strongneg
dark,strongneg
helped,weakpos
destroy,strongneg
progressive,weakpos
corrupt,strongneg
dark,strongneg
helped,weakpos
destroy,strongneg
admits,weakpos
actually,neutral
ud,neutral
would,neutral
still,neutral
means,neutral
impeached,strongneg
much,neutral
would,neutral
like,strongpos
acquit,weakpos
needs,neutral
needs,neutral
dark,strongneg
above,weakpos
actually,neutral
good,strongpos
idea,neutral
should,neutral
real,weakpos
disaster,strongneg
would,neutral
great,weakpos
threatens,strongneg
Pledge,weakpos
protesting,strongneg
Look,neutral
very,neutral
need,neutral
know,neutral
false,weakneg
demon,strongneg
supporter,strongpos
praises,strongpos
think,neutral
IMPEACHED,strongneg
trying,weakneg
fake,strongneg
dirt,strongneg
best,weakpos
democratic,weakpos
sad,strongneg
upsetting,strongneg
sincere,weakpos
hope,strongpos
ignite,neutral
failed,strongneg
fail,strongneg
so,neutral
still,neutral
believe,neutral
democratic,weakpos
still,neutral
need,neutral
force,strongneg
strong,weakpos
allowed,weakpos
Curious,weakpos
attack,strongneg
Even,weakpos
hate,strongneg
still,neutral
boosting,strongpos
open,weakpos
ready,weakpos
Most,neutral
fine,strongpos
even,weakpos
strict,weakneg
much,neutral
even,weakpos
democratic,weakpos
Even,weakpos
modern,weakpos
lean,weakpos
eliminate,strongneg
Better,strongpos
radical,weakneg
fascist,strongneg
(too,strongneg
need,neutral
so,neutral
cheat,strongneg
opinion,neutral
okay,strongpos
good,strongpos
look,neutral
ideas,neutral
So,neutral
Looks,neutral
Most,neutral
offensive,weakneg
positive,weakpos
democratic,weakpos
claims,neutral
super,strongpos
Most,neutral
offensive,weakneg
positive,weakpos
democratic,weakpos
claims,neutral
super,strongpos
intelligence,weakpos
stable,strongpos
genius,strongpos
just,strongpos
Though,neutral
might,neutral
believe,neutral
would,neutral
think,neutral
good,strongpos
need,neutral
certainly,neutral
even,weakpos
moves,neutral
agree,weakpos
trying,weakneg
want,strongpos
easily,strongpos
elevated,weakpos
chaos,strongneg
seems,neutral
great,weakpos
right,weakpos
nature,neutral
prefer,strongpos
understands,weakpos
moral,weakpos
conviction,weakpos
needs,neutral
attacking,strongneg
democratic,weakpos
attacking,strongneg
compromise,weakpos
compromise,weakpos
pressure,neutral
would,neutral
suicide,strongneg
explicitly,weakpos
criticize,strongneg
so,neutral
hard,strongneg
know,neutral
really,neutral
stand,weakpos
elite,strongpos
hate,strongneg
really,neutral
hate,strongneg
corrupt,strongneg
lost,strongneg
cry,strongneg
lost,strongneg
cry,strongneg
feel,neutral
sorry,strongneg
scars,strongneg
sorry,strongneg
think,neutral
think,neutral
thankfully,strongpos
fall,weakneg
shown,neutral
fall,weakneg
would,neutral
modern,weakpos
shows,neutral
declined,weakneg
active,weakpos
declined,weakneg
possibility,neutral
cut,weakneg
security,weakpos
supporting,strongpos
war,weakneg
worth,strongpos
contemplating,neutral
depress,weakneg
democratic,weakpos
very,neutral
reason,strongpos
should,neutral
great,weakpos
proves,neutral
hate,strongneg
trial,strongneg
fact,neutral
COLLUSION,strongneg
supposed,strongneg
seemed,neutral
worry,strongneg
collusion,strongneg
wonder,strongpos
Democratic,weakpos
Exposes,weakneg
Refuses,strongneg
Exposes,weakneg
Refuses,strongneg
Views,neutral
Welcomed,weakpos
lies,strongneg
shown,neutral
lose,strongneg
know,neutral
would,neutral
fairly,weakpos
sure,weakpos
Yes,weakpos
try,weakneg
claiming,neutral
lie,strongneg
lie,strongneg
achieve,strongpos
full,neutral
lies,strongneg
Id,neutral
like,strongpos
lies,strongneg
deceit,strongneg
Yes,weakpos
try,weakneg
claiming,neutral
lie,strongneg
lie,strongneg
achieve,strongpos
full,neutral
lies,strongneg
Id,neutral
like,strongpos
lies,strongneg
deceit,strongneg
know,neutral
worse,strongneg
shallow,strongneg
corrupt,strongneg
dead,strongneg
democratic,weakpos
points,neutral
horrible,strongneg
looking,neutral
dumb,strongneg
correct,strongpos
guarantee,weakpos
correct,strongpos
want,strongpos
invalidated,strongneg
false,weakneg
love,strongpos
war,weakneg
should,neutral
exposed,weakneg
want,strongpos
mess,strongneg
just,strongpos
supporter,strongpos
just,strongpos
fall,weakneg
understand,weakpos
however,neutral
wonder,strongpos
wonderful,strongpos
progressive,weakpos
independent,strongpos
Democratic,weakpos
rival,weakneg
endorses,strongpos
embarrassing,strongneg
block,weakneg
attacks,strongneg
Wow,weakpos
So,neutral
racists,strongneg
too,strongneg
Pathetic,strongneg
depraved,strongneg
Thank,strongpos
too,strongneg
should,neutral
Seriously,weakneg
should,neutral
look,neutral
corrupt,strongneg
stolen,strongneg
wasted,strongneg
yd,neutral
rather,neutral
Endorsement,strongpos
unequal,strongneg
right,weakpos
shows,neutral
Democratic,weakpos
supporting,strongpos
Shows,neutral
Shows,neutral
Shows,neutral
want,strongpos
democratic,weakpos
corrupt,strongneg
corrupt,strongneg
threatens,strongneg
guarantees,weakpos
angry,strongneg
still,neutral
just,strongpos
Please,strongpos
know,neutral
agree,weakpos
must,neutral
