Word,Polarity
natural,strongpos
best,weakpos
Serious,weakneg
straight,weakpos
yawned,strongneg
know,neutral
please,strongpos
love,strongpos
react,neutral
help,weakpos
Hmm,neutral
hmm,neutral
accepting,weakpos
dark,strongneg
(illegally,strongneg
Even,weakpos
Abuse,strongneg
above,weakpos
tried,weakneg
cut,weakneg
security,weakpos
benefits,strongpos
fat,weakneg
ugly,strongneg
disagreed,weakneg
better,strongpos
Blatant,strongneg
Top,weakpos
sure,weakpos
attacking,strongneg
needs,neutral
lectures,weakneg
decency,strongpos
honor,strongpos
even,weakpos
unqualified,strongneg
inexperienced,strongneg
tiny,weakneg
problems,strongneg
right,weakpos
interest,strongpos
abysmal,strongneg
exceeded,strongpos
popular,weakpos
blatant,strongneg
fraud,strongneg
false,weakneg
Normal,strongpos
actually,neutral
hypocrite,strongneg
concern,strongneg
bastard,strongneg
moral,weakpos
outrage,strongneg
well,strongpos
honest,strongpos
least,weakneg
disgusting,strongneg
just,strongpos
cancer,strongneg
truly,strongpos
despicable,strongneg
So,neutral
rich,weakpos
think,neutral
sexy,strongpos
appeal,weakpos
so,neutral
worried,strongneg
corruption,strongneg
point,neutral
seems,neutral
viable,strongpos
supporter,strongpos
wanted,strongpos
maybe,neutral
conspired,strongneg
clog,strongneg
Worthless,strongneg
supporters,strongpos
need,neutral
too,strongneg
trying,weakneg
funny,strongpos
guilt,strongneg
look,neutral
friends,strongpos
schemes,weakneg
‘Blatant,strongneg
toxic,strongneg
Please,strongpos
Firm,neutral
Responsible,weakpos
Missing,weakneg
corrupt,strongneg
enabled,weakpos
blind,strongneg
allowed,weakpos
whatever,weakneg
mess,strongneg
Most,neutral
endorse,strongpos
INDEPENDENT,strongpos
black,weakneg
Recover,weakpos
Crushing,strongneg
Loss,strongneg
lose,strongneg
white,weakpos
like,strongpos
worst,strongneg
perfectly,strongpos
mean,neutral
else,neutral
should,neutral
threaten,strongneg
thinking,neutral
weak,strongneg
sneakily,weakneg
loving,strongpos
Interesting,strongpos
radical,weakneg
definitely,weakpos
hell,strongneg
Challenges,weakneg
really,neutral
want,strongpos
still,neutral
unfounded,strongneg
claims,neutral
Knew,neutral
Chronic,strongneg
Addict,strongneg
Anyway,neutral
Yeah,neutral
wish,weakpos
would,neutral
prime,neutral
according,weakpos
against,weakneg
Against,weakneg
idiot,strongneg
criticism,strongneg
damage,strongneg
wants,strongpos
proves,neutral
Trial,strongneg
such,neutral
big,neutral
threat,strongneg
Punch,strongneg
much,neutral
harm,strongneg
move,neutral
Democratic,weakpos
‘Too,strongneg
Much,neutral
Panic,strongneg
refusing,strongneg
Just,strongpos
attack,strongneg
primary,neutral
DEEP,neutral
completely,neutral
ability,weakpos
position,neutral
defending,weakpos
weird,strongneg
Support,strongpos
real,weakpos
factual,neutral
Love,strongpos
gossip,strongneg
truth,strongpos
lying,strongneg
reasons,strongpos
certain,neutral
startled,weakneg
pretty,weakpos
most,neutral
progressive,weakpos
Imagine,neutral
laugh,weakneg
claim,neutral
very,neutral
interesting,strongpos
dynamic,weakpos
shows,neutral
kills,strongneg
might,neutral
hope,strongpos
okay,strongpos
Really,neutral
dumb,strongneg
insulting,strongneg
sedentary,weakneg
challenging,weakneg
simple,weakpos
barring,weakneg
Lying,strongneg
dead,strongneg
missing,weakneg
Reveals,neutral
Ready,weakpos
poor,strongneg
Positive,weakpos
challenged,weakneg
savage,strongneg
blunder,strongneg
Rebukes,strongneg
excuse,weakneg
Drama,weakneg
exaggerated,strongneg
angry,strongneg
rant,strongneg
pleading,both
specific,neutral
Trusted,strongpos
Wants,strongpos
Acquit,weakpos
Blasts,weakneg
Wrong,strongneg
oh,neutral
tangled,weakneg
Maybe,neutral
responsible,weakpos
crimes,strongneg
Attacks,strongneg
‘Disgraceful,strongneg
Still,neutral
Thinks,neutral
Leak,weakneg
Explosive,strongneg
Players,neutral
Massive,neutral
Implicated,strongneg
crime,strongneg
True,strongpos
support,strongpos
holy,weakpos
‘lying,strongneg
humiliated,strongneg
clear,strongpos
scared,strongneg
despite,weakneg
idea,neutral
disturbing,strongneg
comments,neutral
Humiliating,strongneg
Black,weakneg
artificial,weakneg
great,weakpos
looked,neutral
wrong,strongneg
Demanding,both
obnoxious,strongneg
insults,strongneg
huge,neutral
misses,weakneg
belief,neutral
massive,neutral
disastrous,strongneg
‘Rational,weakpos
Protect,strongpos
Idiot,strongneg
doubt,strongneg
sob,strongneg
deal,strongpos
knowing,neutral
sinister,strongneg
rat,strongneg
delusional,strongneg
Supporters,strongpos
Abandoned,strongneg
,weakpos
Shocking,strongneg
Primary,neutral
traditional,weakpos
strong,weakpos
defeat,strongneg
decide,neutral
Lewd,strongneg
Joke,weakpos
Yes,weakpos
meant,neutral
split,weakneg
elites,strongpos
Real,weakpos
Feelings,neutral
convince,weakpos
rather,neutral
historic,strongpos
Seem,neutral
special,strongpos
liar,strongneg
thought,neutral
allies,weakpos
Little,weakneg
nice,weakpos
trump,strongpos
crazy,strongneg
strength,neutral
heathen,strongneg
fall,weakneg
hates,strongneg
large,weakpos
agree,weakpos
Toll,strongneg
Virus,weakneg
could,neutral
nicely,strongpos
Could,neutral
though,neutral
ideas,neutral
genuine,strongpos
fascist,strongneg
HELP,weakpos
serious,weakneg
losing,strongneg
credible,weakpos
possibly,neutral
creative,strongpos
TIRED,weakneg
suggested,weakpos
disagreement,weakneg
lack,strongneg
lies,strongneg
tyrant,strongneg
Major,neutral
concerned,strongneg
Hard,strongneg
worry,strongneg
‘So,neutral
supporting,strongpos
must,neutral
betrayed,strongneg
loved,strongpos
good,strongpos
blast,weakneg
disabled,weakneg
Endorses,strongpos
Assailed,weakneg
frankly,neutral
free,strongpos
strangled,strongneg
throttled,strongneg
enough,neutral
kill,strongneg
knew,neutral
killer,strongneg
opinion,neutral
helps,weakpos
little,weakneg
honoring,strongpos
racist,strongneg
fresh,strongpos
hells,strongneg
confidence,strongpos
Thanking,strongpos
Helping,weakpos
pragmatic,weakpos
practical,weakpos
authoritarian,weakneg
ensure,weakpos
demand,both
TOO,strongneg
