Word,Polarity
impeach,strongneg
failed,strongneg
uphold,strongpos
unconstitutional,strongneg
must,neutral
impeach,strongneg
failed,strongneg
uphold,strongpos
unconstitutional,strongneg
must,neutral
impeach,strongneg
want,strongpos
demise,strongneg
even,weakpos
damning,strongneg
want,strongpos
too,strongneg
Admits,weakpos
star,weakpos
thrilled,strongpos
knows,neutral
supporting,strongpos
Welcome,weakpos
blind,strongneg
truth,strongpos
wrong,strongneg
broke,strongneg
Really,neutral
want,strongpos
laughed,weakneg
lied,strongneg
prove,neutral
progressive,weakpos
corrupt,strongneg
dark,strongneg
helped,weakpos
destroy,strongneg
progressive,weakpos
corrupt,strongneg
dark,strongneg
helped,weakpos
destroy,strongneg
admits,weakpos
actually,neutral
believe,neutral
big,neutral
unruly,strongneg
love,strongpos
agree,weakpos
least,weakneg
SHOULD,neutral
fake,strongneg
demand,both
still,neutral
blocks,weakneg
such,neutral
protection,strongpos
wants,strongpos
ud,neutral
would,neutral
still,neutral
means,neutral
impeached,strongneg
much,neutral
would,neutral
like,strongpos
acquit,weakpos
needs,neutral
needs,neutral
dark,strongneg
above,weakpos
Plenty,strongpos
shun,strongneg
comedy,weakneg
Happy,strongpos
actually,neutral
good,strongpos
idea,neutral
should,neutral
real,weakpos
would,neutral
lazy,strongneg
condemn,weakneg
really,neutral
ambitious,weakpos
clear,strongpos
good,strongpos
better,strongpos
Id,neutral
love,strongpos
too,strongneg
demands,both
block,weakneg
disaster,strongneg
so,neutral
would,neutral
Better,strongpos
ultimately,strongpos
So,neutral
truth,strongpos
corruption,strongneg
know,neutral
seems,neutral
obvious,neutral
WANT,strongpos
great,weakpos
threatens,strongneg
Pledge,weakpos
protesting,strongneg
Look,neutral
Funny,strongpos
accusation,strongneg
Funny,strongpos
accusation,strongneg
very,neutral
need,neutral
know,neutral
fake,strongneg
outrage,strongneg
showing,neutral
integrity,strongpos
honesty,strongpos
allowed,weakpos
false,weakneg
demon,strongneg
supporter,strongpos
praises,strongpos
think,neutral
IMPEACHED,strongneg
trying,weakneg
fake,strongneg
dirt,strongneg
best,weakpos
democratic,weakpos
sad,strongneg
upsetting,strongneg
sincere,weakpos
hope,strongpos
ignite,neutral
failed,strongneg
fail,strongneg
disgrace,strongneg
demanded,both
trials,strongneg
shocked,weakneg
knows,neutral
scandal,strongneg
ready,weakpos
defense,weakpos
so,neutral
still,neutral
believe,neutral
democratic,weakpos
still,neutral
Good,strongpos
preaching,weakpos
regardless,neutral
attacked,strongneg
need,neutral
stand,weakpos
divided,weakneg
need,neutral
force,strongneg
strong,weakpos
allowed,weakpos
Curious,weakpos
attack,strongneg
Even,weakpos
hate,strongneg
still,neutral
boosting,strongpos
open,weakpos
ready,weakpos
Despite,weakneg
thinking,neutral
Most,neutral
fine,strongpos
even,weakpos
strict,weakneg
much,neutral
even,weakpos
democratic,weakpos
Even,weakpos
modern,weakpos
lean,weakpos
eliminate,strongneg
Better,strongpos
